#{"t_start": 1614187358.8486652, "env_id": "dVRLReach-v0"}
r,l,t,is_success
-30.0,30,320.953022,0.0
-30.0,30,322.005922,0.0
-30.0,30,323.058508,0.0
-4.0,30,324.121962,1.0
-5.0,30,325.1799,1.0
-9.0,30,326.27994,1.0
-8.0,30,327.374354,1.0
-13.0,30,328.433372,1.0
-4.0,30,329.495438,1.0
-3.0,30,330.547722,1.0
-30.0,30,331.597866,0.0
-30.0,30,332.659707,0.0
-30.0,30,333.745078,0.0
-30.0,30,334.822559,0.0
-30.0,30,335.879171,0.0
-7.0,30,336.952773,1.0
-3.0,30,338.001629,1.0
-30.0,30,339.115892,0.0
-7.0,30,340.180808,1.0
-30.0,30,341.241556,0.0
-9.0,30,349.296399,1.0
-8.0,30,350.378904,1.0
-30.0,30,351.461907,0.0
-5.0,30,352.532805,1.0
-8.0,30,353.58479,1.0
-30.0,30,354.646349,0.0
-8.0,30,355.737543,1.0
-30.0,30,356.85542,0.0
-30.0,30,357.930207,0.0
-14.0,30,359.02032,1.0
-30.0,30,360.127069,0.0
-30.0,30,361.288657,0.0
-30.0,30,362.388528,0.0
-10.0,30,363.527916,1.0
-30.0,30,364.669286,0.0
-17.0,30,365.882512,1.0
-30.0,30,367.104096,0.0
-9.0,30,368.285213,1.0
-7.0,30,369.46741,1.0
-30.0,30,370.590216,0.0
-30.0,30,371.70195,0.0
-30.0,30,372.833255,0.0
-30.0,30,373.976559,0.0
-30.0,30,375.09653,0.0
-30.0,30,376.227213,0.0
-30.0,30,377.396402,0.0
-8.0,30,378.69347,1.0
-30.0,30,379.853781,0.0
-7.0,30,381.027822,1.0
-8.0,30,382.235512,1.0
-6.0,30,383.466104,1.0
-30.0,30,384.699426,0.0
-30.0,30,385.991391,0.0
-30.0,30,387.202172,0.0
-30.0,30,388.377694,0.0
-30.0,30,389.591034,0.0
-6.0,30,390.752633,1.0
-30.0,30,391.936938,0.0
-4.0,30,393.114971,1.0
-30.0,30,394.264503,0.0
-30.0,30,395.451876,0.0
-13.0,30,396.712024,1.0
-23.0,30,397.890103,0.0
-17.0,30,399.142515,1.0
-30.0,30,400.325222,0.0
-7.0,30,401.520395,1.0
-12.0,30,402.654233,1.0
-5.0,30,403.79018,1.0
-8.0,30,404.98145,1.0
-30.0,30,406.114392,0.0
-9.0,30,407.287675,1.0
-30.0,30,408.432289,0.0
-10.0,30,409.574594,1.0
-30.0,30,410.700652,0.0
-30.0,30,411.842352,0.0
-7.0,30,412.994298,1.0
-30.0,30,414.112819,0.0
-30.0,30,415.256228,0.0
-9.0,30,416.417826,1.0
-3.0,30,417.559087,1.0
-2.0,30,418.703254,1.0
-16.0,30,419.834702,1.0
-12.0,30,421.025122,1.0
-30.0,30,422.171004,0.0
-10.0,30,423.312956,1.0
-7.0,30,424.460482,1.0
-30.0,30,425.59514,0.0
-30.0,30,426.743067,0.0
-30.0,30,427.886265,0.0
-30.0,30,429.023484,0.0
-30.0,30,430.142106,0.0
-30.0,30,431.297064,0.0
-30.0,30,432.428127,0.0
-9.0,30,433.575794,1.0
-30.0,30,434.716597,0.0
-8.0,30,435.862306,1.0
-30.0,30,437.000248,0.0
-28.0,30,438.216986,0.0
-30.0,30,439.350201,0.0
-10.0,30,440.520139,1.0
-11.0,30,441.704925,1.0
-30.0,30,442.910363,0.0
-30.0,30,444.055177,0.0
-28.0,30,445.210783,0.0
-30.0,30,446.350677,0.0
-5.0,30,447.481821,1.0
-30.0,30,448.593155,0.0
-30.0,30,449.681337,0.0
-30.0,30,450.78242,0.0
-7.0,30,451.92206,1.0
-30.0,30,453.017272,0.0
-30.0,30,454.117567,0.0
-30.0,30,455.21255,0.0
-30.0,30,456.292372,0.0
-7.0,30,457.366988,1.0
-6.0,30,458.451785,1.0
-6.0,30,459.531412,1.0
-11.0,30,460.635495,1.0
-30.0,30,461.711029,0.0
-30.0,30,462.773061,0.0
-30.0,30,463.830287,0.0
-30.0,30,464.87839,0.0
-8.0,30,465.949144,1.0
-30.0,30,467.054465,0.0
-30.0,30,468.133854,0.0
-12.0,30,469.191927,1.0
-30.0,30,470.252139,0.0
-30.0,30,471.324719,0.0
-30.0,30,472.390918,0.0
-30.0,30,473.451205,0.0
-30.0,30,474.511992,0.0
-30.0,30,475.576191,0.0
-30.0,30,476.651471,0.0
-9.0,30,477.740828,1.0
-30.0,30,478.790298,0.0
-30.0,30,479.841457,0.0
-8.0,30,480.949754,1.0
-30.0,30,482.005624,0.0
-30.0,30,483.077794,0.0
-7.0,30,484.207066,1.0
-11.0,30,485.314415,1.0
-30.0,30,486.377357,0.0
-30.0,30,487.436767,0.0
-9.0,30,488.505081,1.0
-30.0,30,489.570301,0.0
-11.0,30,490.625643,1.0
-6.0,30,491.688101,1.0
-10.0,30,492.732482,1.0
-9.0,30,493.842357,1.0
-30.0,30,494.916517,0.0
-30.0,30,495.962492,0.0
-30.0,30,497.010847,0.0
-30.0,30,498.061051,0.0
-30.0,30,499.105115,0.0
-30.0,30,500.152477,0.0
-30.0,30,501.211278,0.0
-30.0,30,502.253562,0.0
-30.0,30,503.304012,0.0
-10.0,30,504.362719,1.0
-30.0,30,505.434292,0.0
-30.0,30,506.49849,0.0
-30.0,30,507.597897,0.0
-29.0,30,508.651429,1.0
-30.0,30,509.708569,0.0
-11.0,30,510.800616,1.0
-8.0,30,511.850447,1.0
-5.0,30,512.924312,1.0
-3.0,30,513.981426,1.0
-30.0,30,515.020484,0.0
-30.0,30,516.090606,0.0
-30.0,30,517.189785,0.0
-6.0,30,518.299664,1.0
-30.0,30,519.429713,0.0
-30.0,30,520.530743,0.0
-11.0,30,521.597472,1.0
-7.0,30,522.651067,1.0
-21.0,30,523.74688,1.0
-30.0,30,524.80623,0.0
-9.0,30,525.860821,1.0
-8.0,30,526.954188,1.0
-30.0,30,528.068434,0.0
-25.0,30,529.15739,0.0
-10.0,30,530.223419,1.0
-30.0,30,531.345866,0.0
-8.0,30,532.446386,1.0
-10.0,30,533.539179,1.0
-30.0,30,534.637534,0.0
-12.0,30,535.80312,1.0
-12.0,30,536.951215,1.0
-7.0,30,538.071515,1.0
-7.0,30,539.181475,1.0
-30.0,30,540.257784,0.0
-30.0,30,541.383724,0.0
-7.0,30,542.520574,1.0
-5.0,30,543.591913,1.0
-30.0,30,544.668124,0.0
-7.0,30,545.813298,1.0
-30.0,30,546.92944,0.0
-5.0,30,548.020232,1.0
-9.0,30,549.138916,1.0
-30.0,30,550.284365,0.0
-30.0,30,551.393543,0.0
-30.0,30,552.48988,0.0
-14.0,30,553.646514,1.0
-9.0,30,554.745776,1.0
-9.0,30,555.893275,1.0
-11.0,30,557.021488,1.0
-15.0,30,558.151402,1.0
-30.0,30,559.276778,0.0
-30.0,30,560.395002,0.0
-8.0,30,561.542157,1.0
-10.0,30,562.639911,1.0
-30.0,30,563.741795,0.0
-9.0,30,564.834941,1.0
-30.0,30,565.912575,0.0
-6.0,30,566.997571,1.0
-10.0,30,568.107774,1.0
-11.0,30,569.204831,1.0
-9.0,30,570.295731,1.0
-8.0,30,571.381278,1.0
-6.0,30,572.487541,1.0
-30.0,30,573.585351,0.0
-30.0,30,574.685911,0.0
-30.0,30,575.814215,0.0
-30.0,30,576.977406,0.0
-30.0,30,578.113545,0.0
-30.0,30,579.238349,0.0
-4.0,30,580.342794,1.0
-30.0,30,581.46452,0.0
-6.0,30,582.626013,1.0
-4.0,30,583.733274,1.0
-30.0,30,584.844126,0.0
-14.0,30,585.948964,1.0
-30.0,30,587.063658,0.0
-30.0,30,588.178087,0.0
-30.0,30,589.284477,0.0
-15.0,30,590.454883,1.0
-3.0,30,591.577424,1.0
-6.0,30,592.683172,1.0
-30.0,30,593.810389,0.0
-13.0,30,594.948017,1.0
-15.0,30,596.107161,1.0
-30.0,30,597.200955,0.0
-30.0,30,598.331908,0.0
-6.0,30,599.499814,1.0
-6.0,30,600.617705,1.0
-8.0,30,601.789562,1.0
-30.0,30,602.921045,0.0
-14.0,30,604.068785,1.0
-30.0,30,605.29194,0.0
-30.0,30,606.429754,0.0
-7.0,30,607.555298,1.0
-30.0,30,608.685397,0.0
-30.0,30,609.830726,0.0
-9.0,30,610.985211,1.0
-30.0,30,612.125217,0.0
-30.0,30,613.266663,0.0
-7.0,30,614.443105,1.0
-9.0,30,615.619187,1.0
-30.0,30,616.777116,0.0
-30.0,30,617.934566,0.0
-30.0,30,619.074489,0.0
-30.0,30,620.240904,0.0
-9.0,30,621.415362,1.0
-30.0,30,622.559091,0.0
-30.0,30,623.714976,0.0
-30.0,30,624.849172,0.0
-30.0,30,626.011149,0.0
-7.0,30,627.166187,1.0
-30.0,30,628.313379,0.0
-7.0,30,629.443902,1.0
-30.0,30,630.556022,0.0
-30.0,30,631.699772,0.0
-8.0,30,632.870456,1.0
-13.0,30,634.012355,1.0
-30.0,30,635.136625,0.0
-9.0,30,636.273737,1.0
-30.0,30,637.375039,0.0
-30.0,30,638.560696,0.0
-13.0,30,639.687331,1.0
-30.0,30,640.825954,0.0
-2.0,30,641.940928,1.0
-30.0,30,643.120723,0.0
-8.0,30,644.26902,1.0
-30.0,30,645.380438,0.0
-30.0,30,646.49309,0.0
-30.0,30,647.624756,0.0
-30.0,30,648.761963,0.0
-10.0,30,649.946997,1.0
-9.0,30,651.09686,1.0
-30.0,30,652.240833,0.0
-30.0,30,653.373128,0.0
-30.0,30,654.480213,0.0
-30.0,30,655.592384,0.0
-30.0,30,656.714677,0.0
-8.0,30,657.890224,1.0
-30.0,30,659.000972,0.0
-30.0,30,660.113698,0.0
-30.0,30,661.236654,0.0
-5.0,30,662.365919,1.0
-30.0,30,663.47539,0.0
-9.0,30,664.596065,1.0
-6.0,30,665.718186,1.0
-30.0,30,666.842688,0.0
-30.0,30,667.955663,0.0
-5.0,30,669.108218,1.0
-9.0,30,670.221266,1.0
-9.0,30,671.392617,1.0
-12.0,30,672.626592,1.0
-13.0,30,673.763484,1.0
-6.0,30,674.945832,1.0
-30.0,30,676.076631,0.0
-18.0,30,677.215316,0.0
-9.0,30,678.406292,1.0
-15.0,30,679.524399,1.0
-8.0,30,680.735976,1.0
-7.0,30,681.918795,1.0
-30.0,30,683.131127,0.0
-7.0,30,684.325228,1.0
-30.0,30,685.470232,0.0
-30.0,30,686.634232,0.0
-7.0,30,687.784901,1.0
-5.0,30,688.92225,1.0
-30.0,30,690.082146,0.0
-4.0,30,691.214633,1.0
-30.0,30,692.357313,0.0
-8.0,30,693.583604,1.0
-30.0,30,694.732246,0.0
-30.0,30,695.853701,0.0
-30.0,30,696.984092,0.0
-30.0,30,698.079773,0.0
-9.0,30,699.205392,1.0
-30.0,30,700.338735,0.0
-7.0,30,701.449255,1.0
-30.0,30,702.566136,0.0
-12.0,30,703.696438,1.0
-30.0,30,704.83489,0.0
-30.0,30,705.946497,0.0
-30.0,30,707.098232,0.0
-22.0,30,708.237486,0.0
-30.0,30,709.368271,0.0
-9.0,30,710.603298,1.0
-30.0,30,711.747044,0.0
-30.0,30,712.886911,0.0
-30.0,30,714.026737,0.0
-7.0,30,715.199627,1.0
-6.0,30,716.357242,1.0
-30.0,30,717.492139,0.0
-9.0,30,718.65144,1.0
-7.0,30,719.856299,1.0
-6.0,30,721.155954,1.0
-9.0,30,722.379941,1.0
-30.0,30,723.520758,0.0
-30.0,30,731.826541,0.0
-7.0,30,732.955974,1.0
-30.0,30,734.102167,0.0
-7.0,30,735.329921,1.0
-30.0,30,736.521746,0.0
-30.0,30,737.670196,0.0
-7.0,30,738.854563,1.0
-6.0,30,740.040973,1.0
-30.0,30,741.174039,0.0
-12.0,30,742.348992,1.0
-30.0,30,743.50619,0.0
-30.0,30,744.649836,0.0
-30.0,30,745.835017,0.0
-4.0,30,746.96964,1.0
-30.0,30,748.220695,0.0
-9.0,30,749.468469,1.0
-7.0,30,750.599794,1.0
-30.0,30,751.751157,0.0
-5.0,30,752.880849,1.0
-30.0,30,754.072406,0.0
-12.0,30,755.270072,1.0
-30.0,30,756.42514,0.0
-6.0,30,757.56162,1.0
-6.0,30,758.727455,1.0
-10.0,30,759.880137,1.0
-30.0,30,761.061914,0.0
-19.0,30,762.246449,1.0
-30.0,30,763.389693,0.0
-30.0,30,764.523563,0.0
-30.0,30,765.682924,0.0
-30.0,30,766.840369,0.0
-30.0,30,767.976699,0.0
-30.0,30,769.120378,0.0
-30.0,30,770.276495,0.0
-10.0,30,771.506116,1.0
-30.0,30,772.630644,0.0
-11.0,30,773.810988,1.0
-30.0,30,774.975076,0.0
-9.0,30,776.113519,1.0
-30.0,30,777.247142,0.0
-30.0,30,778.408425,0.0
-12.0,30,779.540934,1.0
-18.0,30,780.688906,1.0
-10.0,30,781.895391,1.0
-12.0,30,783.102289,1.0
-30.0,30,784.247733,0.0
-30.0,30,785.388893,0.0
-10.0,30,786.606869,1.0
-30.0,30,787.726838,0.0
-30.0,30,788.861828,0.0
-30.0,30,789.991891,0.0
-30.0,30,791.106891,0.0
-30.0,30,792.217413,0.0
-10.0,30,793.337661,1.0
-30.0,30,794.497177,0.0
-30.0,30,795.613154,0.0
-9.0,30,796.721766,1.0
-13.0,30,797.840129,1.0
-30.0,30,798.980652,0.0
-2.0,30,800.090621,1.0
-30.0,30,801.204077,0.0
-21.0,30,802.314733,0.0
-27.0,30,803.429225,0.0
-30.0,30,804.556383,0.0
-5.0,30,805.639999,1.0
-30.0,30,806.74104,0.0
-30.0,30,807.856425,0.0
-30.0,30,809.033902,0.0
-30.0,30,810.233474,0.0
-4.0,30,811.362706,1.0
-5.0,30,812.457436,1.0
-30.0,30,813.610013,0.0
-7.0,30,814.706281,1.0
-30.0,30,815.817017,0.0
-30.0,30,816.958888,0.0
-30.0,30,818.041124,0.0
-30.0,30,819.130407,0.0
-30.0,30,820.225078,0.0
-30.0,30,821.348467,0.0
-8.0,30,822.456253,1.0
-30.0,30,823.549591,0.0
-30.0,30,824.647179,0.0
-7.0,30,825.746221,1.0
-11.0,30,826.845184,1.0
-8.0,30,828.005637,1.0
-30.0,30,829.094272,0.0
-8.0,30,830.216802,1.0
-7.0,30,831.39004,1.0
-9.0,30,832.552262,1.0
-9.0,30,833.67857,1.0
-30.0,30,834.771734,0.0
-8.0,30,835.925467,1.0
-30.0,30,837.018633,0.0
-30.0,30,838.109407,0.0
-9.0,30,839.224487,1.0
-30.0,30,840.312268,0.0
-30.0,30,841.399958,0.0
